category,occupCode,occupTitle,year,numEmployed,meanWage,empChange,,,
Business & Professional Services,"110,000",Management Occupations,2009,72240,139300, ,,,
Business & Professional Services,"110,000",Management Occupations,2012,70770,151299,-2,,,
Business & Professional Services,"110,000",Management Occupations,2015,83140,151299,15,,,
Business & Professional Services,"110,000",Management Occupations,2018,84760,166747,17,, ,
Business & Professional Services,"130,000",Business & Financial,2009,54390,82837, ,,,
Business & Professional Services,"130,000",Business & Financial,2012,56090,91281,3,,,
Business & Professional Services,"130,000",Business & Financial,2015,69100,96357,27,,,
Business & Professional Services,"130,000",Business & Financial,2018,79880,102377,47,,,
Business & Professional Services,"230,000",Legal Occupations,2009,7230,132151, ,,,
Business & Professional Services,"230,000",Legal Occupations,2012,7040,149520,-3, ,,
Business & Professional Services,"230,000",Legal Occupations,2015,9600,144014,33,,,
Business & Professional Services,"230,000",Legal Occupations,2018,8010,163013,11,,,
Business & Professional Services,"410,000",Sales,2009,91520,52117, ,,,
Business & Professional Services,"410,000",Sales,2012,80570,53594,-12,,,
Business & Professional Services,"410,000",Sales,2015,88220,55545,-4,,,
Business & Professional Services,"410,000",Sales,2018,99190,57117,8,,,
Business & Professional Services,"430,000",Office & Admin,2009,130050,42392, ,,,
Business & Professional Services,"430,000",Office & Admin,2012,120410,45067,-7,,,
Business & Professional Services,"430,000",Office & Admin,2015,124840,48082,-4,,,
Business & Professional Services,"430,000",Office & Admin,2018,135970,49184,5,,,
Computer/Science/Engineering,"150,000",Computer & Math,2009,81280,104441, ,,,
Computer/Science/Engineering,"150,000",Computer & Math,2012,91870,112222,13,,, 
Computer/Science/Engineering,"150,000",Computer & Math,2015,113340,125640,39,,,
Computer/Science/Engineering,"150,000",Computer & Math,2018,132140,124801,63,,,
Computer/Science/Engineering,"170,000",Architecture & Engineering,2009,53490,100899, ,,,
Computer/Science/Engineering,"170,000",Architecture & Engineering,2012,51080,104280,-5,,,
Computer/Science/Engineering,"170,000",Architecture & Engineering,2015,55720,113423,4,,,
Computer/Science/Engineering,"170,000",Architecture & Engineering,2018,52570,116606,-2,,,
Computer/Science/Engineering,"190,000","Life, Physical, Social Science",2009,16720,89190, ,,,
Computer/Science/Engineering,"190,000","Life, Physical, Social Science",2012,12190,92644,-27,,,
Computer/Science/Engineering,"190,000","Life, Physical, Social Science",2015,11050,85984,-34,,,
Computer/Science/Engineering,"190,000","Life, Physical, Social Science",2018,11400,95373,-32,,,
Community,"210,000",Community & Social Service,2009,9680,54848, ,,,
Community,"210,000",Community & Social Service,2012,9750,48660,1,,,
Community,"210,000",Community & Social Service,2015,10300,59195,6,,,
Community,"210,000",Community & Social Service,2018,12050,57638,24,,,
Community,"250,000","Education, Training & Library",2009,49960,59751, ,,,
Community,"250,000","Education, Training & Library",2012,48490,59751,-3,,,
Community,"250,000","Education, Training & Library",2015,54040,63089,8,,,
Community,"250,000","Education, Training & Library",2018,58270,63782,17,,,
Community,"330,000",Protective Services,2009,15130,49538, ,,,
Community,"330,000",Protective Services,2012,17320,62723,14,,,
Community,"330,000",Protective Services,2015,17210,51879,14,,,
Community,"330,000",Protective Services,2018,17500,65934,16,,,
Community,"270,000","Arts, Design, Entertainment, Sports, Media",2009,13940,70314, ,,,
Community,"270,000","Arts, Design, Entertainment, Sports, Media",2012,13200,66263,-5,,,
Community,"270,000","Arts, Design, Entertainment, Sports, Media",2015,12960,71930,-7,,,
Community,"270,000","Arts, Design, Entertainment, Sports, Media",2018,15990,74180,15,,,
Community,"350,000",Food Prep & Serving,2009,64520,22200, ,,,
Community,"350,000",Food Prep & Serving,2012,64520,22462,0,,,
Community,"350,000",Food Prep & Serving,2015,76170,25311,18,,,
Community,"350,000",Food Prep & Serving,2018,82000,30581,27,,,
Healthcare,"290,000",Practioners & Technical,2009,36260,96142, ,,,
Healthcare,"290,000",Practioners & Technical,2012,34720,107733,-4,,,
Healthcare,"290,000",Practioners & Technical,2015,40260,111800,11,,,
Healthcare,"290,000",Practioners & Technical,2018,45450,117063,25,,,
Healthcare,"310,000",Healthcare Support,2009,18650,35188, ,,,
Healthcare,"310,000",Healthcare Support,2012,18940,34824,2,,,
Healthcare,"310,000",Healthcare Support,2015,16850,40076,-10,,,
Healthcare,"310,000",Healthcare Support,2018,18210,44652,-2,,,
Healthcare,"390,000",Personal Care,2009,16960,29019, ,,,
Healthcare,"390,000",Personal Care,2012,17020,28614,0,,,
Healthcare,"390,000",Personal Care,2015,21400,29143,26,,,
Healthcare,"390,000",Personal Care,2018,44630,30910,163,,,
Logistical/Industrial,"370,000",Building & Ground Maintenance,2009,26440,27629, ,,,
Logistical/Industrial,"370,000",Building & Ground Maintenance,2012,26380,29800,0,,,
Logistical/Industrial,"370,000",Building & Ground Maintenance,2015,27410,31943,4,,, 
Logistical/Industrial,"370,000",Building & Ground Maintenance,2018,28830,35323,9,,,
Logistical/Industrial,"450,000","Farming, Fishery & Forestry",2009,2780,21478, ,,,
Logistical/Industrial,"450,000","Farming, Fishery & Forestry",2012,1280,23246,-54,,,
Logistical/Industrial,"450,000","Farming, Fishery & Forestry",2015,2410,24209,-13,,,
Logistical/Industrial,"450,000","Farming, Fishery & Forestry",2018,2470,26698,-11,,,
Logistical/Industrial,"470,000",Construction,2009,39430,55791, ,,,
Logistical/Industrial,"470,000",Construction,2012,26060,60532,-34,,,
Logistical/Industrial,"470,000",Construction,2015,30220,61978,-23,,,
Logistical/Industrial,"470,000",Construction,2018,35370,67158,-10,,,
Logistical/Industrial,"490,000",Installation & Repair,2009,27530,51585, ,,,
Logistical/Industrial,"490,000",Installation & Repair,2012,24010,54238,-13,,,
Logistical/Industrial,"490,000",Installation & Repair,2015,23590,55886,-14,,,
Logistical/Industrial,"490,000",Installation & Repair,2018,29260,59794,6,,,
Logistical/Industrial,"510,000",Production Occupations,2009,59310,36606, ,,,
Logistical/Industrial,"510,000",Production Occupations,2012,46950,40112,-21,,,
Logistical/Industrial,"510,000",Production Occupations,2015,50890,40795,-14,,,
Logistical/Industrial,"510,000",Production Occupations,2018,51130,44739,-14,,,
Logistical/Industrial,"530,000",Transportation & Moving,2009,36190,33690, ,,,
Logistical/Industrial,"530,000",Transportation & Moving,2012,37650,35102,4,,,
Logistical/Industrial,"530,000",Transportation & Moving,2015,34760,37312,-4,,,
Logistical/Industrial,"530,000",Transportation & Moving,2018,38680,39269,7,,,